dataset,method,hyperparam,val_split,accuracy_mean,accuracy_std,accuracy_count,precision_macro_mean,precision_macro_std,precision_macro_count,recall_macro_mean,recall_macro_std,recall_macro_count,f1_macro_mean,f1_macro_std,f1_macro_count,fpr_macro_mean,fpr_macro_std,fpr_macro_count
fashionmnist,Dropout,0.5,val0.895,0.5466166666666666,0.0408232451634974,10,0.5595415468521676,0.030384212874334605,10,0.546197720525114,0.03978382220832352,10,0.5282098553560525,0.05560268389582475,10,0.05039517188458501,0.004527497998729117,10
fashionmnist,Ising,0.1,val0.6,0.8793166666666666,0.004250962127841824,10,0.8789739945994043,0.003952445464051937,10,0.8793028393895611,0.004094156098969561,10,0.8787294892860187,0.004074835036277231,10,0.013412208681843901,0.00047807474345405173,10
fashionmnist,Ising,0.1,val0.8,0.82775,0.005168309177389301,10,0.8269088071395453,0.00540905874712672,10,0.8276303205897584,0.00544457957019305,10,0.825877086714011,0.005310165318313985,10,0.01914222067297919,0.0005744772892662876,10
fashionmnist,Ising,0.1,val0.895,0.5833333333333334,0.016398772914045123,10,0.5798074174465615,0.025119545359972757,10,0.5833245014116095,0.016927550703114008,10,0.5701815785323912,0.024655440473510568,10,0.046316279017467064,0.001829391893817688,10
fashionmnist,Ising,0.5,val0.6,0.8350166666666666,0.004605049563412055,10,0.8344650897406727,0.0050630795578941725,10,0.8346213136080042,0.004894647875574503,10,0.8317659455431,0.004750471491812161,10,0.018339414550322564,0.0005176856365631782,10
fashionmnist,Ising,0.5,val0.8,0.7770166666666667,0.013487637229132887,10,0.7746504522751166,0.017278547731915624,10,0.7764069941006223,0.013458311321229885,10,0.7686727096742356,0.01715568793828486,10,0.02479082332523178,0.0015001858062177018,10
fashionmnist,Ising,0.5,val0.895,0.37625000000000003,0.03044041437235198,10,0.3060388756286596,0.04807943030188278,10,0.3776707589311581,0.029508037346734912,10,0.2957486941334078,0.03824558705581648,10,0.06929845654422566,0.0033389340038059577,10
mnist,Dropconnect,0.1,val0.6,0.9674833333333334,0.0024348929552864508,10,0.9671063252523151,0.00236849523265039,10,0.9669995837027641,0.002478734832840881,10,0.9670089909989024,0.0024290464526343057,10,0.003608785431738588,0.00027134277866577665,10
mnist,Dropconnect,0.1,val0.8,0.9230499999999999,0.0044166142554542265,10,0.9222898388826073,0.004395189015949465,10,0.921795081087709,0.004410766617759063,10,0.9218491808956596,0.004400184761968218,10,0.00854029623913764,0.0004901194158342699,10
mnist,Dropconnect,0.1,val0.895,0.549,0.022751339670228733,10,0.5450863470864937,0.026780842246783523,10,0.5413645380343914,0.024036615076046534,10,0.537407609638439,0.025420987970582065,10,0.05007112012989562,0.002539817983285363,10
mnist,Dropconnect,0.5,val0.6,0.9058166666666667,0.004978007187173966,10,0.9063732263427612,0.00448003727541311,10,0.9046212064644932,0.0053526080060876426,10,0.9047724797424724,0.004897948721837487,10,0.010440199536064999,0.0005548186719789683,10
mnist,Dropconnect,0.5,val0.8,0.7959333333333334,0.011032555640041774,10,0.7938497265420159,0.01407450996134238,10,0.7899265693245573,0.011854680471655213,10,0.785895310417931,0.014598776613403867,10,0.02264845762413347,0.0012267695259164583,10
mnist,Dropconnect,0.5,val0.895,0.27640000000000003,0.051023971611511634,10,0.15499762175830178,0.05168277964293489,10,0.26214416749968344,0.045800847139968195,10,0.16465896976186986,0.05144294248282041,10,0.08066765276717174,0.005580428656167994,10
mnist,Dropout,0.1,val0.6,0.95785,0.002698250461976326,10,0.957301504370422,0.002841782972451008,10,0.9573352837210589,0.0027291541017301383,10,0.9571975151674892,0.002780796805287615,10,0.004675609887033536,0.0002978520326284846,10
mnist,Dropout,0.1,val0.8,0.9068333333333334,0.006188400140286348,10,0.905850689535977,0.006120406607353931,10,0.9053503091954658,0.006418223200685446,10,0.90530134164055,0.00636779138602295,10,0.01033854407328334,0.0006873214064555908,10
mnist,Dropout,0.1,val0.895,0.4893166666666667,0.03290178519679142,10,0.48492274227421656,0.033263127230260044,10,0.47952032729415606,0.033357043315986434,10,0.4581201376233571,0.042301622317092905,10,0.056719154210391975,0.003644436090748387,10
mnist,Dropout,0.5,val0.6,0.9540666666666666,0.003247221034122008,10,0.9535379223669278,0.00334798151653615,10,0.9535605887115313,0.0031334746602061565,10,0.9534409433890904,0.003281299816939526,10,0.00509473325884138,0.0003571927827232436,10
mnist,Dropout,0.5,val0.8,0.8951166666666668,0.005814546467032804,10,0.8945120853058495,0.005602209328105484,10,0.8933194655723276,0.0060964368978468795,10,0.8934762446002822,0.0059252704684375455,10,0.011638235271843508,0.000649081627831371,10
mnist,Dropout,0.5,val0.895,0.45278333333333337,0.04118312386594813,10,0.4458495745110328,0.04355920558427157,10,0.44075509718336,0.04214430316927505,10,0.40128686984469814,0.062415416884445456,10,0.06081992585537469,0.004579146563837759,10
mnist,Ising,0.1,val0.6,0.9554499999999999,0.00243438587078987,10,0.9549093734564493,0.002446861563639892,10,0.9548763599311195,0.0023820497171382097,10,0.9547972275828164,0.002439765601979965,10,0.004942384553889293,0.0002695014910298386,10
mnist,Ising,0.1,val0.8,0.9105166666666668,0.004400091188729595,10,0.9096836036508604,0.00407035943903459,10,0.9091644834573736,0.004408168483676032,10,0.909170764452775,0.004243408145757653,10,0.009931077572420434,0.0004926451668846691,10
mnist,Ising,0.1,val0.895,0.4655833333333333,0.03597592216064296,10,0.43795833308739435,0.038500724571771804,10,0.45415931881582894,0.03461749712135275,10,0.42037934326694265,0.04245074075802083,10,0.05941850162823511,0.004002102486248701,10
mnist,Ising,0.5,val0.6,0.9215333333333333,0.002468067670200961,10,0.9213521905650076,0.0024509143288888686,10,0.9205086818606636,0.002509694109914251,10,0.9205905288997659,0.002459829606648432,10,0.00870355865946928,0.00027443394007515946,10
mnist,Ising,0.5,val0.8,0.8486333333333332,0.013386652648657234,10,0.848062799405761,0.01403189522307225,10,0.8456917434295408,0.01400118854555824,10,0.845756596952776,0.014396026471885441,10,0.016791506582635993,0.0014909929563063304,10
mnist,Ising,0.5,val0.895,0.28936666666666666,0.05002245174931298,10,0.17836449676508787,0.06417296479473446,10,0.2747970164623261,0.04535665658024456,10,0.18452761584721708,0.05464326693561945,10,0.07926942090624173,0.005509504148267383,10
